"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"BTFL-life","BTFL-life is a Los Angeles based womenswear brand, delivering
beautiful elements from nature and international travels to its girl.

Curating cultural aspects into its in-house designed textiles and
collections, BTFL-life exhibits an ethereal and enchanting aesthetic
through the feminine cool lifestyle. Along its exclusive fabrics,
the brand tells a dreamy story of modern romance with delicate
finishings and ease of fit and form.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles","United States","btfllife.com","https://www.linkedin.com/company/btfl-life"
,"Bombshell Accessories dba Metal Mafia","Ethics matters--in life and in business. Metal Mafia trades on that principle.  In the era of cutthroat and carelessness, we choose commitment and accountability.  No excuses.  No slack.  No margin for error.  Metal Mafia is the result of three people’s dedication to doing it right every time, in a world where things being done wrong has become the norm.  We make jewelry, but our company also makes a home for both the people who work here and the people we serve.  Our style is as persuasive as our honesty.  Our quality is as irreproachable as our integrity. Our designs are as righteous as we are.","Apparel and Fashion","11-50 employees","Privately Held","New York, New York","United States","metalmafia.com","https://www.linkedin.com/company/metal-mafia-bombshell-accessories"
,"Tuned In Tokyo","We here at Tuned In Tokyo are a clothing brand that will always continue to develop products that embody the JDM lifestyle and culture.","Retail Apparel and Fashion","11-50 employees","Self Owned","Corona, CA","United States","tunedintokyo.com","https://www.linkedin.com/company/tuned-in-tokyo"
,"Iliac Golf","Iliac Golf was established in 2005, with the sole purpose of offering golfers around the world the highest quality apparel and accessories. Iliac products are fueled by passion and driven by design, with golf apparel and accessories engineered to go beyond the ordinary and exceed all expectations. With Iliac offerings, luxury and style meet performance and function in premium, custom designs. And always made here in the USA.

In the years following the creation of Iliac, countless PGA tour players and major champions have utilized Iliac apparel and leather products. This list includes Jack Nicklaus, Jordan Spieth, Phil Mickelson, Rory Mcilroy, Hideki Matsuyama, Retief Goosen, Zach Johnson, and Jimmy Walker. Please visit “Iliac On Tour” for more details. In addition to Iliac’s use on the PGA tour, celebrities such as Clint Eastwood and Tony Hawk also proudly call themselves Iliackers.","Apparel and Fashion","11-50 employees","Privately Held","San Diego, CA","United States","iliacgolf.com","https://www.linkedin.com/company/iliac-golf"
,"Mona B","At Mona B, we believe in making a great product while helping the environment through sustainable business practices. Our founder and creative director, Mona Bhatia, is a dedicated, creative designer who is passionate about genuine style that doesn't compromise when it comes to environmental impact. The Mona B brand reflects Mona's name and philosophy, and our company is built on her values: independence, adventure, and environmental responsibility. Grounding our style in Mona's sensibilities, we strive to bring our customers a chic line that is equal parts affordable and practical while remaining true to our sustainable mission.

At Mona B, we believe in progress, not perfection. Our story as a brand is marked by a constant search for new ways to build sustainability into every step of the supply chain, from how we dye fibers to how we package our products. We are dedicated to daring to be the change the world needs. #BeFearlesslyAuthentic with us.","Apparel and Fashion","11-50 employees","Privately Held","Cleveland, OH","United States","mona-b.com","https://www.linkedin.com/company/mona-b"
,"Quoddy","Quoddy is footwear company based out of Lewiston, Maine USA","Apparel and Fashion","11-50 employees","Self Owned","Lewiston, Maine","United States","quoddy.com","https://www.linkedin.com/company/quoddy"
,"Tailored Club","Founded in 2012, Tailored Club is a bespoke clothier that produces premium 100% bespoke suits, shirts, trousers, denim and skirts for men and women. A family owned business, founded by father and son, Tailored Club currently distributes their products through Independent Personal Stylists, Retail Locations, and Local Mom & Pop Tailors.

Tailored Club looks to become the new innovative bespoke clothier by way of vertical integration. Vertical Integration allows Tailored Club to provide their partners with a production facility that has been producing custom clothing for over 5 years and innovative technology platform that is fully interactive with their consumers, provides order tracking, and stores customers measurement profiles.

Tailored Club offers a much faster turnaround time than the industry standard, with a 3-4 week turnaround on customer’s orders.","Retail Apparel and Fashion","11-50 employees","Privately Held","Great Neck, New York","United States","tailoredclub.com","https://www.linkedin.com/company/tailoredclub"
,"Garment Decor","Welcome to Garment Decor, your source for custom merchandise. We offer custom t shirt printing and we can create your own t shirts with our in house screen printing and embroidery services. We offer quick turn around times, wholesale prices, and bulk order discounts!","Apparel and Fashion","11-50 employees","Self Owned","Chino, California","United States","garmentdecor.com","https://www.linkedin.com/company/garment-decor"
,"BOND & CARNABY | makers of fine bespoke clothing","Welcome to the World of The Ram & Needle: An exhalted order of pure luxury where Love for elegance and passion for craftsmanship encompass the principles of aestheticism and classicism upon which the BOND & CARNABY brand is founded upon.

 Bond & Carnaby is a men's luxury brand  that is perceived as different and distinctive, modern  yet classic with a refined taste where a perfect balance of fine craftsmanship, edgy experimentation and meticulous attention to detail defines the excellence of a product emblematic of the brands heritage.. The true value of our brand lies in our product and our continuous questioning to improve the quality, craftsmanship, value in use, adaptation to changing tastes and needs of our customers.

The products are crafted entirely of luxury and of quality using artisanal rigor, craftsmanship & innovation while staying true to traditional heritage,  and incorporating the state of an art in continual evolution. The collections combines luxury and quality with a refined  passe partout style.

The name  not only evokes the work  done by a company but a new art de vivre, a cosmopolitan attitude and an elegance in which rules are creatively décontracté.

The resulting products boast universal quality of truly inspired designs that are timeless, versatile and sophisticated.  It stands out as something different and distinctive. Owning any Bond & Carnaby product means appreciating the product's qualities and the philosophy inherent in its craftsmanship.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, CA","United States","bondandcarnaby.com","https://www.linkedin.com/company/bond-&-carnaby-makers-of-fine-bespoke-clothing"
,"Extreme Screen Prints","We are a full service contract screen printing shop specializing in niche market print styles and simulated process screen printing. We are best known for our advancements made in the specialty market, including oversize screen printing, jumbo screen printing, discharge screen printing, and water based screen printing. It is our motto that if we strive to provide the highest quality product at a competitive price, Extreme Screen Prints will be a major player in the industry for years to come. 

Extreme Screen Prints caters to custom and contract customers with a premium quality end product in mind. Through every step of the process we strive to achieve perfection. Here you will find every Pantone Solid Coated color FREE of charge. Thats well over 1250+ buckets of ink waiting just for you. Extreme has a huge portfolio of simulated process screen prints gathered from over 10 years of experience separating and printing.","Retail Apparel and Fashion","11-50 employees","Privately Held","Grandville, Michigan","United States","extremescreenprints.com","https://www.linkedin.com/company/extremescreenprints"
,"BTB Los Angeles","BTB Los Angeles is a handbag and clothing company based out of 7915 Ruffner Ave Ste A, Van Nuys, California, United States.","Retail Apparel and Fashion","11-50 employees","Privately Held","Van Nuys, California","United States","btblosangeles.com","https://www.linkedin.com/company/btb-los-angeles"
,"Kandu Studios","An Agency Built for Fashion's Boldest Ideas.

Meet Kandu.

Founded by outsiders for outsiders, start-ups & emerging brands.

As dreamers who got on a plane with nothing but a dream and a few designs, we know what it's like to navigate the complicated world of fashion & product manufacturing.

The Adventure  of Going from Idea to Product Captivated Us.

We fell in love with the process so much that we founded an agency with the mission of empowering as many 
Your boots on the ground guide to go from cocktail napkin sketch to the showrooms, runways & closets of the world
Weather you're a new designer or an established brand, were here to be your guide from a cocktail napkin sketch to the showrooms, runways & closets of the world.

Kandu exists to take the mystery out of fashion design, sourcing & manufacturing.



We understand, because we've been there, and our outside-in experience spanning over a decade lead us to create a better way, the Kandu way.



We know all too well that weather your a zero day startup, an emerging brand or a scaling, established label, that you're never immune to the stress of finding the right manufacturing partners, sourcing materials and meeting deadlines, not to mention the stress of communication struggles and quality control.



Kandu exists to address these issues, to reduce the stress of product development and let you get back to the fun parts of business that truly make you come alive and delight your customers.

Introducing Kandu Studios; we are a customer-centric revolutionary fashion agency transforming brand management and elevating productivity while reducing costs and enhancing every step of the process.



We are more than an agency, we are your boots on the ground, engineered to give you a true white glove experience and empowering you to deliver your customers beautiful pieces that last a lifetime.



From Llama plush toys to luxury hand bags and anything in between, we've been there and we'd love to be there for you.","Retail Apparel and Fashion","11-50 employees","Partnership","Los Angeles","United States","kandustudios.com","https://www.linkedin.com/company/kandu-studios"
,"Talbots Outlet",,"Retail Apparel and Fashion","11-50 employees",,"Solon, Ohio","United States",,"https://www.linkedin.com/company/talbots-outlet"
,"HerringStones","Welcome to HerringStones! This is where you find trend-setting pieces to take your closet to the next level. Styled practically for you to stand out but also make the most out of every piece that you own. We want to make you feel confident, beautiful and secure with your styling. Our team wants to give you more than just pieces to add in your closet, but teach you how to style and truly complete an entire outfit!

Visit our website to start your shopping experience! 

xoxo,
HerringStones","Retail Apparel and Fashion","11-50 employees","Privately Held","Youngsville, LA","United States","herringstonesboutique.com","https://www.linkedin.com/company/herringstone-s"
,"Rockpoint Marketplace","RockpointMarketplace.com  is a new innovative way to order promotional products, company uniforms, door-to-door service online anywhere in the United States.

RockPoint is proud to see their products in stores such as:
- Bed Bath Beyond
- Buy buy baby
- Cavenders 
- Cracker Barrel
- Buc-ee's
- Museums throughout the United States
- Airport Retail
- Texas Stores & gift shops throughout the great State of Texas
- Bealls Stores
- Navy Exchange

RockPoint is also proud of being a national supplier and embroiderer for VFW Worldwide and American Legion Worldwide.","Retail Apparel and Fashion","11-50 employees","Partnership","Houston, Texas","United States","rockpointmarketplace.com","https://www.linkedin.com/company/rockpoint-apparel"
,"California Emblems","Welcome to California Emblems, your one-stop-shop for custom patches, keychains, pins, and more. As a company that owns its own production house, we're able to offer our clients fast turnaround times and high-quality products that meet their unique needs.

At California Emblems, we're dedicated to customer satisfaction. That means we're always willing to go above and beyond to ensure that our clients' needs are met. Our team of experts is available 24/7 to answer any questions and provide exceptional customer service.

We specialize in bringing our clients' artwork to life in a wide range of materials, including embroidered patches, chenille, PVC, sublimated, leather, woven, and TPU patches. Our most ordered product is our custom embroidered patches, which are perfect for businesses, organizations, and individuals looking to make a statement.

In addition to our custom patches, we also offer custom keychains in all of the materials listed above, as well as enamel and UV printed pins. These products are ideal for marketing and branding, commemoration, or personal use.

We're always expanding our product offerings, and we're excited to announce that we've recently launched custom socks. Our socks are made with the same high-quality materials and attention to detail that our clients have come to expect from California Emblems.

At California Emblems, we're passionate about providing our clients with products that exceed their expectations. Contact us today to learn more about how we can help you bring your artwork to life with custom promotional products.","Apparel Manufacturing","11-50 employees","Privately Held","Los Angeles, California","United States","californiaemblems.com","https://www.linkedin.com/company/californiaemblems"
,"Angel Baby","Angel Baby is a young brand on the market, passionate and determined to make an impressive track record in the baby apparel and bedding market.

We strive to achieve top quality at every step of the product creation.

Produced in Europe, Angel Baby products incorporate only the finest cotton to create its superior look and touch beyond comparison.

Although we boast a true international exposure, we work with a small number of devoted people, each of whom contributes to the perfection of the brand, with their special skills and enthusiasm. Our mission is to create a children's brand of products that is admired worldwide, that keeps our children safe, and one that parents can trust.","Retail Apparel and Fashion","11-50 employees","Public Company","Wilton, Connecticut","United States","angel-baby.eu","https://www.linkedin.com/company/angel-baby"
,"ABS Bag","Bags are essentials to meet several solutions serving various purposes. These products are built with top quality materials and can be modified with the company logo with our latest silk screening technologies. When it comes to handbags, it forms a major part of women’s attire. The selection of bags covers several aspects. Maybe you need to store and transport paper documents or something heavy.
Since security is the primary concern, our bags are durable and equipped with good locking capabilities. We provide everything starting from small vinyl zipper bags to large canvas coin bags. Moreover, our products include clear check processing bags as well as compartment coin pouches. Our bank bags come with several color combinations. Therefore, with our bag products, you can easily secure your belongings stylishly.","Retail Apparel and Fashion","11-50 employees","Privately Held","Montgomery, Alabama","United States","absbag.com","https://www.linkedin.com/company/absbag"
,"Victory Koredry","MADE IN THE USA  
Ethically sourced
Environmentally conscious
US milled fabrics. 
Private label 
e s t . 1 9 8 0","Retail Apparel and Fashion","11-50 employees","Privately Held","Huntington Beach, CA","United States","victorykoredry.com","https://www.linkedin.com/company/victory-professional-products"
,"Olian Inc.","For 20 years Olian Maternity has been designing trendy clothes for future moms, crafting new bodies for women who want more options during their pregnancy.","Retail Apparel and Fashion","11-50 employees","Privately Held","Miami, fl","United States","olianmaternity.com","https://www.linkedin.com/company/olian-inc-"
,"Allwear","For those with a busy, on-the-go lifestyle who are tired of toxic, trend-driven clothing made from polyester, nylon, and other harmful chemicals, Allwear is here to help you build a healthy wardrobe. We craft certified non-toxic essentials using premium natural materials.","Retail Apparel and Fashion","11-50 employees","Privately Held","San Clemente, California","United States","allwear.com","https://www.linkedin.com/company/allwearapparel"
,"ZINNTEX PPE","Zinntex LLC is located in New York City at 260 West 39th street, suite 401.  The company was founded in 2015 by Morris, Alyce, Ricky, Ithan and Barry Zinn.  Zinntex is a Vertical Operation with offices in N.Y, Hong Kong and China, as well as factory partnerships in China, Taiwan, Bangladesh, Mexico, Vietnam and the United States.  The company offers Direct Sourcing to retailers, hospitals, government agencies and businesses all over the world.

The Zinn family has 40+ years of experience in manufacturing and importing apparel and PPE. The company has utilized their supply chain to support Hospitals, Healthcare Professionals, First Responders, The New York State Dept. of Health, Essential Businesses and Large Corporations.

Zinntex is dependable, priced competitively and eager to help make a difference.

Zinntex takes pride in providing superior products to its customers.  Our quality control staff uses AQL 1.5 and AQL 2.5 in order to maintain the highest quality standards for our customers.  All factories are FDA registered & each product has been tested and certified to meet its quality standard.  We have secured production space manufacturing N95 and KN95 masks, 3-ply surgical and non-surgical masks, surgical gowns, isolation gowns, shields, goggles, bouffant hair and shoe coverings, nitrile gloves, infra-red thermometers, hand sanitizer, and several other PPE items.

We have delivered quality products at affordable prices to protect people, young and old, since the beginning of this pandemic.  We have delivered in the most critical of times and continue to deliver well after.

With our exceptional customer service team, expansive inventory and unbeatable prices, Zinntex is dedicated to keeping you safe.

Key Product Categories
     - Masks
     - Gloves
     - Hand Sanitizer
     - Wipes
     - COVID Tests","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, New York","United States","zinntexppe.com","https://www.linkedin.com/company/zinntex-ppe"
,"Soel Boutique","We are a locally owned women's clothing, home, accessory, & baby boutique. We believe in curating a life that represents you. Whether it's on trend or classy and timeless, we offer you pieces that can help you create a beautiful life, piece by piece. We know that comfort is huge. We find pieces that you'll not only look great in, but feel great in as well. Life can be full of goodness. We don't want you to fill your home, closet, and life with ""stuff"", we want you to love everything surrounding you and your families. Hopefully we can help play a role in that for you.","Retail Apparel and Fashion","11-50 employees","Self Owned","Provo, UT","United States",,"https://www.linkedin.com/company/soel-boutique"
,"Poweradspy Group Buy","PowerAdspy is the best Facebook Ads Intelligence Platform with a Huge DataCenter consisting Millions of Facebook Ad examples | Creatives, Ready to be used .","Retail Apparel and Fashion","11-50 employees","Self Employed","Carteret, New Jersey","United States",,"https://www.linkedin.com/company/poweradspy-group-buy"
,"• RHAIKA •","Womenswear Brand.","Retail Apparel and Fashion","11-50 employees","Privately Held","Miami, Florida","United States","rhaikastore.com","https://www.linkedin.com/company/rhaika"
,"SweatVac Performance Wear","The SweatVac team is committed to providing athletes with the best products available. We’re a group of cyclists, runners, triathletes, and enthusiasts of the athletic pursuit just like you, and we understand first-hand the importance of the clothing you wear during intense performance. We know the quality of our gear and apparel is second to none because we use and wear it everyday.  We’ve been creating and perfecting our products for two decades, and have supplied thousands of happy athletes with effective athletic wear worn time and time again.

We specialize in turn-key, custom race hats and custom race shirts for endurance races, athletic teams, and other events where a light, technical fabric is ideal. SweatVac offers both embroidery and dye sublimation that will not compromise the integrity and functionality of the fabric.","Retail Apparel and Fashion","11-50 employees","Privately Held","Chicago, IL","United States","sweatvac.com","https://www.linkedin.com/company/sweatvac-performance-wear"
,"Lipstick + Wildflowers","Clothing and accessories with a ""Masculine Attitude, Feminine Fit"" for the fashion forward LGBTQ woman and those who aspire to be.  

While the fashion world claims to be daringly innovative, provocative and gay friendly, they have neglected a large portion of that community, the LGBTQ women…particularly those who identify as butch, boi, aggressive, gender queer and transgender. Gay men are perceived as having all the style while women are left to fend for themselves, shopping in the mens department and fighting the stereotype of mullet hair cuts, combat boots and flannel shirts. Created in 2005  Lipstick + Wildflowers, Alternative Lifestyle Apparel for Women was born, setting out to prove that you can be a woman “in the life” and have a sense of fashion.","Retail Apparel and Fashion","11-50 employees","Privately Held",,"United States","lipstickandwildflowers.com","https://www.linkedin.com/company/lipstick---wildflowers"
,"Identity Ink","Identity Ink is your one-stop shop for promotional products and custom branded apparel. In addition to screen printing and embroidery services, we have an apparel shop dedicated to the city we love the most, Buffalo.

From small and large businesses to schools and sports teams, we put our 40+ years of industry experience to work to offer high quality products, great prices and unmatched customer service. We deliver the services our customers need and products they love, including:
•	Screen printing
•	Embroidery
•	Buffalo apparel
•	Promotional items
•	Banners
•	Graphic design

Wear your Buffalo pride on your sleeve (literally). In addition to our screen printing and embroidery services, we designed a unique collection of Buffalo apparel. Because after all, there’s no shortage of love for the 716.","Retail Apparel and Fashion","11-50 employees","Self Owned","Buffalo, New York","United States","identityink.com","https://www.linkedin.com/company/custom-tee-activewear"
,"Haiku, LLC","We are a Seattle-based company with a simple goal: to create beautiful bags that function poetically and reflect our need for balance, fun and well-being. We love being outside and finding inspiration in natural landscapes.

Clean and minimal in appearance yet brimming with thoughtful features, Haiku bags are made to support a full and active life – whether commuting to work, traveling abroad or exploring the neighborhood. High-performing fabrics, well-placed straps and pockets, detailed embroidery and bold, energetic colors give our bags their signature style, comfort and durability.

We are guided by our values:
Quality
Understanding and compassion
Empowerment of women and community
Environmental appreciation
Natural and soulful beauty with a sense of humor and adventure

With our roots in poetry, we like to say we are well-versed.
Well-versed in living, laughing and always learning.","Retail Apparel and Fashion","11-50 employees","Privately Held","Seattle, WA","United States","haikubags.com","https://www.linkedin.com/company/haiku-llc"
,"Beautiful Connection Group - Manufacturers Marketplace","Beautiful Connection Group is the best b2b clothing manufacturing marketplace in the US for wholesale buyers and manufacturers.","Apparel Manufacturing","11-50 employees","Partnership","New York, New York","United States","beautifulcng.com","https://www.linkedin.com/company/beautiful-connection-group"
,"Bread","Founded in 2022, Bread is a pioneering startup revolutionizing footwear with premium elastic shoelaces that blend style, comfort, and convenience. Our mission is to transform the way people engage with their shoes, delivering innovative solutions that marry functionality with contemporary design. With over 450,000 pairs of laces sold, we’ve rapidly earned a reputation for quality and innovation. As we continue to grow, we remain dedicated to enhancing everyday experiences for our customers by providing products that combine superior performance with effortless style.

Visit us at lacebread.com to learn more about our offerings and join us on our journey!","Retail Apparel and Fashion","11-50 employees","Privately Held","Fayetteville, Arkansas","United States","lacebread.com","https://www.linkedin.com/company/breadlace"
,"Heathlander","Heathlander co-founders Teddy Lynn and Mark Himmelsbach are passionate about the game of golf. Through their boutique New York ad agency, Episode Four, they have done a lot of work in the golf industry including producing ""The Challengers"" for Charles Schwab, a series about people changing the game of golf for the better (schwabgolf.com/challengers). But golf was in their blood long before they were in the ad business. Mark grew up in a golfing family in Michigan - one of the states in The U.S. where true Heathland golf can be found and Teddy spent much of his youth playing the renowned Heathland golf courses in the south of England. His high school matches often took him to Sunningdale, The Berkshire, Woking and New Zealand, all true Heathland gems. Their ambition with Heathlander is to build a golf brand for proper golfers - golfers who have the spirit of Heathlanders - and they plan to do it with a range of high quality products that will allow such golfers to play well, look good and brave the elements. Because any day on the course is a good day.","Retail Apparel and Fashion","11-50 employees","Privately Held","Locust Valley, NY","United States","heathlander.com","https://www.linkedin.com/company/heathlander"
,"The Chic Daily","The Chic Daily is a digital publication and physical print magazine dedicated to reporting the latest fashion, beauty and lifestyle news and trends. The publication is produced by members of The Fashion Journalism Club at the Walter Cronkite School of Journalism and Mass Communication at Arizona State University. The Fashion Journalism Club is a student-run club based on Arizona State University’s Downtown Phoenix Campus. It consists of passionate writers who dream of working in the fashion journalism industry.","Apparel and Fashion","11-50 employees","Public Company","Phoenix, AZ","United States","thechicdaily.com","https://www.linkedin.com/company/thechicdaily"
,"HPI EMBLEM","HPI EMBLEM offers custom patches, pins, stickers, magnets, and a broad line of promotional items with reliable “fastest on the planet” service. We control the entire production process, from processing orders to manufacturing, allowing for transparency, consistent product quality and reliable, efficient delivery on-time, on-budget.","Retail Apparel and Fashion","11-50 employees","Privately Held","Kent, Washington","United States","hpiemblem.com","https://www.linkedin.com/company/hpi-emblem"
,"Voga Trading Company Inc","Voga Trading Company Inc is an apparel & fashion company based out of 37 W 57th St Ste 900, New York, New York, United States.","Retail Apparel and Fashion","11-50 employees",,"New York, New York","United States",,"https://www.linkedin.com/company/voga-trading-company-inc"
,"TexTale","Textale brings the finest fabrics with an uncompromising focus on gradation, performance, and durability.

We own a world-class factory with over 30 years of knitwear production experience that allows us to complete A+ products with luxury-level craftsmanship.","Retail Apparel and Fashion","11-50 employees","Privately Held","Chicago, IL","United States","textale.tech","https://www.linkedin.com/company/textale-us"
,"Romex Textiles, Inc.",,"Retail Apparel and Fashion","11-50 employees",,"Los Angeles, CA","United States","romextex.com","https://www.linkedin.com/company/romex-textiles-inc-"
,"Chii Clothing Culture","Chii Clothing Culture is a company born and raised in Chicago.  It is a clothing line that is truly ahead of its time.  Although young, we are proud to say that we have made some great strides.  We seek to share some of our beliefs through the work that we produce.","Retail Apparel and Fashion","11-50 employees","Privately Held",,"United States","chiiclothing.com","https://www.linkedin.com/company/chii-clothing-culture"
,"Adla","Adla is a venture-backed startup changing the way that college girls buy clothes.  Serving as both a personal stylist and delivery service, Adla lets college girls try on clothes in their dorm for free - they only pay for the clothes they'd like to keep and Adla picks up the rest right from their doorstep! 

We're making shopping more personalized, convenient, and social while eliminating the negative experiences associated with shopping both in a mall and online, whether it be the commute, waiting in lines, or receiving an online order that isn't the right fit, color, or fabric.","Retail Apparel and Fashion","11-50 employees","Privately Held","Charlotte","United States","tryadla.com","https://www.linkedin.com/company/adlastyle"
,"Sacred Threads Inc.","Sacred Threads | An Innovator in Fashion

For over 20 years, Sacred Threads has been setting the standard in boutique apparel. Making our imprint on the fashion scene with unique styles from India, we have been expanding our reach and refining our taste for decades. We now debut and constantly update, a huge variety of global styles for both junior and missy ladies.

Our latest lines can be found at over 2000 fantastic, independent boutiques across the country. And now due to a popular demand from our fans – we are offering our collection online through The Sacred Threads Boutique. Take a look at our collection today, and see why Sacred Threads is always a winning line you can depend on.","Retail Apparel and Fashion","11-50 employees","Privately Held","Gainesville, Florida","United States","sacredthreads.com","https://www.linkedin.com/company/sacred-threads-inc-"
,"Poffie Girls","Poffie Girls is a premiere, full service salon serving North and South Carolina in the areas of bridal, mothers, pageant, prom, and party gowns. We pride ourselves on our wide selection of gowns to meet every customer’s fashion needs.
We work with and carry designers that are current, fresh, and forecast trends in order to create unique styles every season. Our professional stylists are knowledgeable, helpful, and courteous – collectively, they view themselves as a concierge service, not just sales consultants. They are here to help you every step of the way through planning your wedding or pulling together the perfect style for your prom, pageant, or special occasion.","Retail Apparel and Fashion","11-50 employees","Privately Held","Gastonia, North Carolina","United States","poffiegirls.com","https://www.linkedin.com/company/poffie-girlsbridalandprom"
,"Elie Balleh couture LTD","For nearly 5 years, Elie Balleh couture LTD stable of brand has played a major role and are some of the main contributors in helping to shape up and define the man's and children’s fashion apparel market.
we supply major chain / dept stores and specialty stores as well as boutiques
our line is a big hit for style seekers who is looking for the best look at and good values","Retail Apparel and Fashion","11-50 employees","Public Company","NYC, NY","United States","elieballeh.com","https://www.linkedin.com/company/elie-balleh-couture-ltd"
,"Italeau","We believe in an intelligently designed, luxuriously handmade shoe. Our luxurious aesthetic stands apart from the crowd as we pay homage to an old world craft learned and passed down by the Italian artists of shoemaking. Soft, supple, waterproof leather and long-lasting structure promise a shoe of unwavering comfort.

We believe all shoes must serve basic functions to protect your feet - provide you with comfort and good posture and be durable. A shoe is a unique object: it supports and thus impacts our entire body, it is at ground level and thus must withstand the elements. A shoe that isn’t fully functional is not truly a shoe and is not truly luxurious.

We believe that as citizens of the world we have a duty to care for our fellow human beings. As such we chose to manufacture our product in Italy were craftsmen are fairly paid and protected. We also chose to provide clean water access to people in need. We embrace and support a cohesive world as our ethos, where we are mindful in our lives and our choices that impact the world in which we live.

And so we created ITALEAU.

We named ITALEAU after a play of words: ITALY + EAU. ITALY is the cradle of luxury shoemaking, artistry and craftsmanship, Italy is where it all began. EAU is water in French, we believe life begins with water - as such all our shoes are water-friendly and with every purchase ITALEAU provides clean water access to an individual in need in the developing world.

ITALEAU is a soulful, passionately designed and produced footwear with waterproof leather and construction, luxuriously handcrafted from the old-world heritage of artisan shoemakers bringing to you every-day luxury, thoughtful aesthetic that represents an ease of living - appreciation, consciousness, simplicity and taste.

With ITALEAU we want to bring you true luxury: a beautiful, luxurious shoe that is also fully functional and crafted consciously.","Apparel and Fashion","11-50 employees","Privately Held","Sausalito, CA","United States","italeau.com","https://www.linkedin.com/company/italeau"
,"Davide Cenci Inc",,"Retail Apparel and Fashion","11-50 employees",,"New York, NY","United States","davidecenci.com","https://www.linkedin.com/company/davide-cenci-inc"
,"Dylan George Apparel","Check out www.dylangeorge.com","Retail Apparel and Fashion","11-50 employees","Privately Held",,"United States","dylangeorge.com","https://www.linkedin.com/company/dylan-george-apparel"
,"LEI UJIKA INC.","Cosmetic color creation for global cosmetic company. U.S. and global fashion & cosmetic marketing research. Video and music production. Trend Seminars on New York collections, U.S. fashion and the cosmetic business for The Fashion Group Inc. of Tokyo and Sanyo Shokai co. Ltd..  Design production of inner brand and apparel. Consulting for global textile companies.","Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","leiujika.com","https://www.linkedin.com/company/lei-ujika-inc-"
,"DirectLi Inc.","DirectLi is a manufacturer, importer and wholesaler.  We provide retailers and other wholesalers with high quality clothing and apparel for men, women and children. Products include knits, woven, outerwear and swimwear. 
Besides its head quarters in New York City, the company operates in several other countries, mostly in Asia and Africa.
For more information please call 646.639.7460.","Retail Apparel and Fashion","11-50 employees","Privately Held",,"United States","directliinc.com","https://www.linkedin.com/company/directli-inc."
,"Quilted Koala Ltd.","Quilted Koala is a fun and engaging lifestyle brand with modern quilted fabric bags, totes, duffels, cosmetic pouches, jewelry rolls as well as a line of fabric-covered jewelry and storage boxes.  

Whether you're going to work, class, the beach or on an amazing adventure, Quilted Koala is ready to go with you! To find out more about our exciting new line of bags, visit www.quiltedkoala.com","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","quiltedkoala.com","https://www.linkedin.com/company/quilted-koala-ltd-"
,"East Shore Garment Company","We are a full-service vertical knit supplier with the capabilities to take you from design to delivery.  We take pride in our customer service, high-quality products, and quick shipping.  We’ve been successfully providing both blanks and full package garments to our customers for over a decade.  Our clients come from multiple markets including Resort, Collegiate Licensed, small to medium-sized retail brands, and more.  

We deliver the two primary services:

* Quick Ship: Garments produced on existing patterns with in-house fabric.  288 unit minimum with the same color/fabrication/body throughout.
* Custom: Truly customized styles in a design of your choice; built specifically for your needs. 1,200-1,600 unit minimum depending on fabric/body. 

Call us today and see what we can do for you: 323-923-4453","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, CA","United States","eastshoregarment.com","https://www.linkedin.com/company/east-shore-garment-company"
,"Blue Moon Screenprinting, Inc.","Blue Moon Screenprinting, Inc. is an award-winning contract garment decorator, providing high end Screenprinting, Embroidery, and Direct-to-Garment services. Boasting a production capacity of 12,000 garments per shift and a rapid 3-5 day turnaround, our company stands as one of the largest dedicated contract decorators in NE Ohio.","Retail Apparel and Fashion","11-50 employees","Privately Held","Eastlake","United States","bluemoonscreenprint.com","https://www.linkedin.com/company/blue-moon-promotional"
,"Chance Fashion","Chance Fashion is an organization providing opportunities to anyone desiring to break into the fashion scene in Seattle.  We provide a networking platform for anyone desiring to be or already involved in any way in the Seattle fashion scene.  Let us know if you are interested in being more involved in the fashion scene in Seattle in the coming future!","Retail Apparel and Fashion","11-50 employees","Non Profit","Seattle, Washington","United States","chancefashion.org","https://www.linkedin.com/company/chance-fashion"
,"Threads Custom Gear","Threads is the go-to screen printing and embroidery shop for your custom apparel. We are based in Traverse City, Michigan and have over 50 years collective experience in the garment printing industry. We serve our community locally and nationally to provide vibrant screen printing, embroidery, digital printing and a suite of services to help organizations of any size purchase and distribute custom apparel.","Apparel Manufacturing","11-50 employees","Privately Held","Traverse City, Michigan","United States","threadscustomgear.com","https://www.linkedin.com/company/threadscustomgear"
