"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Rutgers Organics Corp","✅ Rutgers Organics","Rutgers Organics","As a medium-sized company and a member of International Chemical Investors GmbH, for more than 100 years we are developing and selling high quality and innovative products in the fields of chemical wood protection, wood finishes and preventive structural fire protection.","Chemical Manufacturing","11-50 employees",,"Harrison, Ohio","United States",,"https://www.linkedin.com/company/rutgers-organics-corp",,,,,
,"Kartik Inc","✅ Kartik","Kartik","Distributor and importer of construction machinery, construction machines, hydraulic construction machine, industrial construction machine, heavy construction machine, heavy hydraulic construction machine, Construction Machinery, building construction machine, industrial building construction machine and heavy building construction machine from Bangalore.","Chemical Manufacturing","11-50 employees",,"Las Vegas, Nevada","United States","karthikengineering.com","https://www.linkedin.com/company/kartik-inc",,,,,
,"Chemax International Inc","✅ Chemax International","Chemax International",,"Chemical Manufacturing","11-50 employees",,"Ontario, California","United States","chemax.com.tw","https://www.linkedin.com/company/chemax-international-inc",,,,,
,"HBCChem","✅ HBCChem","HBCChem","HBCChem, Inc. was founded to provide our customers with fine chemicals and research consulting services in protein analytics. We specialize in fine chemicals and custom synthesis. The founders earned their Ph.D.s in the US and both have more than 12 years of industrial experiences in drug discovery and development. Most of the catalog items are available for immediate delivery. The custom syntheses typically take 4 to 6 weeks, depending on the complexity of the target molecules.","Chemical Manufacturing","51-200 employees","Privately Held","Union City, California","United States","hbcchem.com","https://www.linkedin.com/company/hbcchem",,,,,
,"Century Mold & Tool Co., Inc.","✅ Century Mold & Tool Co.","Century Mold & Tool Co.",,"Chemical Manufacturing","11-50 employees",,"Elk Grove Village, Illinois","United States",,"https://www.linkedin.com/company/century-mold-&-tool-co.-inc.",,,,,
,"Dayton Park Pharmacy","✅ Dayton Park Pharmacy","Dayton Park Pharmacy",,"Chemical Manufacturing","11-50 employees",,"Dayton, New Jersey","United States",,"https://www.linkedin.com/company/dayton-park-pharmacy",,,,,
,"Quad Chemical Corporation","✅ Quad Chemical","Quad Chemical",,"Chemical Manufacturing","11-50 employees",,"Virginia Beach, Virginia","United States","quadchemical.com","https://www.linkedin.com/company/quad-chemical-corporation",,,,,
,"Dye Systems Inc","✅ Dye Systems","Dye Systems",,"Chemical Manufacturing","11-50 employees",,"Dalton, Georgia","United States","dyesystems.com","https://www.linkedin.com/company/dye-systems-inc",,,,,
,"Dynea Oil Field Chemicals","✅ Dynea Oil Field Chemicals","Dynea Oil Field Chemicals",,"Chemical Manufacturing","11-50 employees",,"Lafayette, Louisiana","United States",,"https://www.linkedin.com/company/dynea-oil-field-chemicals",,,,,
,"Apex Dental Lab","✅ Apex Dental Lab","Apex Dental Lab",,"Chemical Manufacturing","11-50 employees",,"Salisbury, Maryland","United States","apexdentallab.com","https://www.linkedin.com/company/apex-dental-lab",,,,,
,"ATS Water","✅ ATS Water","ATS Water","At Associated Technical Services, we love solving problems for our customers. With more than 60 years of combined experience treating industrial water for corrosion, scale, microbiological issues, cooling towers, boilers, chill water systems, and other water needs, we’re experts in investigating your water problem and finding the solution.","Chemical Manufacturing","11-50 employees","Privately Held","Tampa , Florida","United States","atswater.com","https://www.linkedin.com/company/atswater",,,,,
,"Cross Chemical Co","✅ Cross Chemical","Cross Chemical",,"Chemical Manufacturing","11-50 employees",,"Russellville, Alabama","United States","crosschemical.com","https://www.linkedin.com/company/cross-chemical-co",,,,,
,"Power Chemical Co","✅ Power Chemical","Power Chemical",,"Chemical Manufacturing","11-50 employees",,"Gallatin, TN","United States","powerchemicalcorp.com","https://www.linkedin.com/company/power-chemical-co",,,,,
,"Chemical Sales Co","✅ Chemical Sales","Chemical Sales",,"Chemical Manufacturing","11-50 employees",,"Henderson, North Carolina","United States",,"https://www.linkedin.com/company/chemical-sales-co",,,,,
,"Hygiene Chemicals Pakistan","✅ Hygiene Chemicals Pakistan","Hygiene Chemicals Pakistan","Hygiene Chemicals Company is growing business of houshold chemicals in Pakistan.
Its constantly at the forefront of innovation, we research, source and develop the very best products and techniques, ensuring we provide the highest level of service to our customers.","Chemical Manufacturing","11-50 employees","Partnership","San Carlos, California","United States","hygienechemicals.pk","https://www.linkedin.com/company/hygiene-chemicals-pakistan",,,,,
,"Stein’s Inc","✅ Stein’s","Stein’s","We will be responsible to our customers needs with fast, courteous service.
We will always strive to have the most professional sales and customer service staff in our market area.
At Stein's, Inc. our business practices are guided by high ethical standard and we have the strongest sense of responsibility to our customers and employees.","Chemical Manufacturing","11-50 employees","Self Owned","Moorhead, Minnesota","United States","steinsinc.com","https://www.linkedin.com/company/steins-inc",,,,,
,"Amspec Chemical Corp.","✅ Amspec Chemical Corp.","Amspec Chemical Corp.","Amspec provides antimony trioxide based chemicals, flame retardant systems, metalorganics, and custom dispersions to a wide range of industries.","Chemical Manufacturing","11-50 employees",,"Gloucester City, New Jersey","United States","amspecorp.com","https://www.linkedin.com/company/amspec-chemical-corp-",,,,,
,"Kimia Corp","✅ Kimia","Kimia",,"Chemical Manufacturing","11-50 employees",,"Santa Clara, California","United States","kimiacorp.com","https://www.linkedin.com/company/kimia-corp",,,,,
,"Thai Chili Restaurant","✅ Thai Chili Restaurant","Thai Chili Restaurant",,"Chemical Manufacturing","11-50 employees",,"Reno, Nevada","United States",,"https://www.linkedin.com/company/thai-chili-restaurant",,,,,
,"Renosol Systems, LLC","✅ Renosol Systems","Renosol Systems","Renosol provides twp distinct families of products:

1) Specialty polyurethane molding: NVH, rigid or structural, flexible, energy absorbing, visco-elastic, integral skin and more. Soy based formulations are also available. Renosol handles tooling design and procurement so you don't have to. 

2) Polyurethane-embedded or fabricated steel dunnage bars for your material handling design; Renosol also designs and builds custom racking systems for storage and transportation.","Chemical Manufacturing","51-200 employees","Privately Held","Bay City, MI","United States","renosol.com","https://www.linkedin.com/company/renosol-systems-llc",,,,,
,"FOI LABS","✅ FOI LABS","FOI LABS","FOI Laboratories is an industry-leading fuel testing, analysis and research laboratory. Our company specializes in providing high quality fuel analysis and testing services to commercial and industrial businesses. Our mission is to provide world-renowned fuel tests with an unwavering determination to give our clients consistently accurate results with integrity and honor.","Chemical Manufacturing","11-50 employees","Privately Held","Vancouver, WA","United States","foilab.com","https://www.linkedin.com/company/foi-labs",,,,,
,"Anachemia Chemicals Inc","✅ Anachemia Chemicals","Anachemia Chemicals",,"Chemical Manufacturing","11-50 employees",,"Newburyport, Massachusetts","United States",,"https://www.linkedin.com/company/anachemia-chemicals-inc",,,,,
,"Ahmed Enterprises Inc","✅ Ahmed Enterprises","Ahmed Enterprises",,"Chemical Manufacturing","51-200 employees",,"Tyler, Texas","United States",,"https://www.linkedin.com/company/ahmed-enterprises-inc",,,,,
,"Omega Chemical Company","✅ Omega Chemical","Omega Chemical",,"Chemical Manufacturing","11-50 employees",,"Ralston, Nebraska","United States",,"https://www.linkedin.com/company/omega-chemical-company",,,,,
,"Apollo Technologies","✅ Apollo","Apollo","Apollo Technologies, Inc., is a fully licensed water treatment contractor and has been in business since 1989.
Apollo is a member in good standing of the Association Of Water Treaters and is fully insured. We blend in-house a complete line of Boiler and Cooling water treatment chemicals. Although we use chemicals, we consider ourselves primarily a service contractor. All of our employees have maintenance and engineering backgrounds, to which we add safety and comprehensive water treatment training.

In the marketplace there are few chemical companies willing to supply water treatment chemical to the end users. Due to cutbacks in the maintenance, careful monitoring & control of the water treatment systems have fallen behind. Often, the boiler and cooling tower is relegated to a once per month visit of a consultant who does nothing more than make recommendations, which are frequently not implemented.

Our approach to water treatment is to provide a “turn key” program, which results in energy efficiency and water savings for our customers. Our field engineers are responsible for onsite maintenance of water quality and control equipment functionality. An important part of our water treatment program includes semi-annual cleanings and disinfection of cooling towers. Boilers are washed out each year prior to OSHA inspection.","Chemical Manufacturing","11-50 employees","Privately Held","Rancho Santa Margarita, California","United States","apollotechnologiesinc.com","https://www.linkedin.com/company/apollo-h2o",,,,,
,"Industrial H2o, Inc.","✅ Industrial H2o","Industrial H2o","Our goal is to provide environmentally sound and conscious water treatment programs and products to the commercial, industrial, hospitality, textile and clinical industry. We offer a pro-active approach to reduce cost, protect equipment, and minimize production downtown. We achieve this by combining our water treatment expertise and contracting ability. We take pride in providing our clients with the most innovative and cost effective solutions available.","Chemical Manufacturing","11-50 employees","Public Company","South San Francisco, CA","United States","industrialh2o.biz","https://www.linkedin.com/company/industrial-h2o-inc.",,,,,
,"Aristech Chemical Corp.","✅ Aristech Chemical Corp.","Aristech Chemical Corp.",,"Chemical Manufacturing","51-200 employees",,"Pasadena, Texas","United States",,"https://www.linkedin.com/company/aristech-chemical-corp-",,,,,
,"InventeK Colloidal Cleaners, LLC","✅ InventeK Colloidal Cleaners","InventeK Colloidal Cleaners",,"Chemical Manufacturing","11-50 employees",,"Philadelphia, PA","United States","inventekcolloidal.com","https://www.linkedin.com/company/inventek-colloidal-cleaners-llc",,,,,
,"EGX Chemical","✅ EGX Chemical","EGX Chemical","EGX Chemical provides antifreeze products for trucks and automobiles within the Florida and South Georgia region. We are locally owned and operated and proudly supply products made in the USA.","Chemical Manufacturing","51-200 employees","Privately Held","Gainesville, Florida","United States","egxaf.com","https://www.linkedin.com/company/egxchemical",,,,,
